cod_jogo;nome_jogo;resenha;imagem_resenha
1;Battlefield 1;Abra caminho através do cenário de destruição de Paschendale, cheio de sangue e lama, e proteja-se em esconderijos e ruínas. Lute nos campos de trigo pelo rio Somme enquanto o campo de batalha se transforma em um verdadeiro inferno com a barragem devastadora da artilharia. Lute em trincheiras nas montanhas próximas do Rio Isonzo, enquanto os austro-húngaros enfrentam o exército italiano nas terras intensamente disputadas de Caporetto.;bf_resenha.jpg
2;Titanfall;Chame seu Titã e prepare-se para uma experiência arrebatadora de tiro em primeira pessoa em Titanfall™ 2! A sequência apresenta uma nova campanha solo que explora o vínculo entre Piloto e Titã. Ou então abra caminho por uma experiência multijogador ainda mais inovadora e intensa - trazendo 6 novos Titãs, novas habilidades mortíferas para os Pilotos, personalização ampliada, novos mapas, novos modos e muito mais.;tf_resenha.jpg
3;Doom;Sendo um jogo de tiro em primeira pessoa, Doom é jogado através do ponto de vista do personagem principal. O objetivo de cada fase é simplesmente encontrar a saída que leva ao próximo nível, um botão com um sinal "EXIT" em vermelho, enquanto que o objetivo é sobreviver a todos os perigos ao longo do caminho. Entre os obstáculos estão monstros, barris com lixo tóxico, tetos que vêm abaixo e esmagam o jogador e portas trancadas que podem ser abertas quando se tranca um cartão, chave ou interruptor. Os níveis são em sua maioria compostos por labirintos, e apresentam uma abundância de áreas secretas com power-ups como recompensa para que o jogador as explore. Para ajudar na navegação há um mapa automático do jogo, que é construído a medida que o jogador evolui dentro da missão.;doom_resenha.jpg
4;Overwatch;É um FPS em que o foco não está propriamente na quantidade de mortes, mas antes no trabalho de equipa. Cada equipa é composta por seis jogadores e juntos têm que cooperar para transportar ou impedir o transporte de uma carga, ou para capturar um ponto estratégico no mapa. É um jogo divertido tanto jogado a solo como com um grupo de pessoas conhecidas, embora seja ainda mais divertido se a situação for a última.;ow_resenha.jpg
5;Halo 5;Quando o maior herói da humanidade desaparece, um Spartan Locke e o Fireteam Osiris recebem a missão de caçar o Master Chief e resolver o enigma que ameaça a galáxia inteira. Uma história épica, além de modos multijogadores novos e inovadores marcam a maior evolução da história do Halo. Disponível para XBOX ONE e computadores com Windows 10.;halo_resenha.jpg
6;Counter Strike – GO;"Counter-Strike surpreendeu a indústria de jogos quando o improvável MOD virou o jogo de ação online para PC mais jogado no mundo quase imediatamente após seu lançamento em agosto de 1999," disse Doug Lombardi na Valve. Pelos últimos 12 anos, ele continuou sendo um dos jogos mais jogados no mundo, manteve destaque em torneios competitivos de jogos e a franquia vendeu mais de 26 milhões de cópias no mundo todo. CS: GO promete expandir na jogabilidade premiada de CS' e permitir seu acesso por jogadores não só no PC, mas também em consoles de última geração e no Mac.;cs_resenhas.jpg;
7;Call of Duty – WWII;É o melhor Call of Duty desta geração por várias razões. É um regresso às origens e o modo história é, por uma larga margem, o melhor dos últimos anos. O detalhe dos cenários e o som realista das armas transporta-nos imediatamente para aquela que foi a guerra mais importante para a história da humanidade. É uma campanha que vale a pena jogar do princípio ao fim.Apesar do regresso ao passado, a jogabilidade rápida, viciante e familiar de Call of Duty continua presente. O multijogador está fantástico e tem mais recompensas do que nunca. Já o modo zombies, continua a ser capaz de oferecer muitas horas de diversão. No geral, Call of Duty: WWII é um pacote recheado para quem gosta de jogos de tiros.;cod_resenha.png
8;Point Blank;Esse jogo de FPS é um dos poucos que conta com "skins" femininas que só podem ser adquiridas por meio de "gold" ou de "cash"(comprado em real).A cada partida o jogador recebe uma pequena quantidade de gold, a moeda comum do jogo, que é razoavelmente influenciada pelos resultados da partida. Há uma grande diferença de valores entre os jogadores vencedores e perdedores, e uma boa porcentagem de assassinatos por mortes melhora levemente a quantia. Então já que boa parte da moeda comum do jogo é obtida igualmente por todos os jogadores, a performance do jogador nas partidas em pouco influenciará para que futuramente ele tenha um equipamento superior ou inferior ao da média dos outros jogadores.;pb_resenha.jpg
9;Warface;Warface utiliza o motor gráfico CryEngine 3, o mesmo utilizado em jogos como Crysis 3. Warface conta com uma jogabilidade realista, que aumenta a sensação de imersão nos combates. Por exemplo, para subir em locais muito altos, você precisará da ajuda de um companheiro, para que um dê um “pezinho” para o outro e depois seja puxado. Da mesma forma, seus aliados podem ajudá-lo a voltar à ação se você tiver sido incapacitado pelo inimigo, mas ainda não tiver morrido. O jogo também conta com uma habilidade, em que o jogador pode deslizar-se pelo chão, semelhante à um carrinho. No jogo há como personalizar suas armas, como por exemplo colocar miras, trilhos e silenciadores, adaptando-a ao gosto do jogador.;wf_resenha.jpg
10;Destiny;Suas aventuras o levarão em uma viagem pelo sistema solar enquanto você trava guerras contra a Legião Vermelha, descobre os segredos do nosso passado esquecido e ajuda aliados precisando de um herói lendário.;destiny_resenha.jpg
